"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"uk	❗️Звалище каркасів касетних ракет"	 зібраних аварійними та рятувальними службами у Харкові #ukrainewar #Ukraine #ukraine🇺🇦 #war #kharkiv https://t.co/7GOZydxqye							
"uk	【Ще не вмерла Україна🇺🇦】  Ще не вмерла Україна— Марія Бортіка   #UkrainianNationalAnthem🇺🇦 #ЩеневмерлаУкраїна🇺🇦 #ウクライナ国歌🇺🇦 #ウクライナは滅びず🇺🇦 #ウクライナ🇺🇦 #Ukraine🇺🇦 #Україна🇺🇦 #СлаваУкраїні🇺🇦 https://t.co/EV2jloMjq7"								
"ru	На Донбассе ВСУ отбили 14 атак противника"	 уничтожили технику и воздушные цели https://t.co/6HyChuBhyG #Ukraine #Russia							
"uk	RT @yMIi8SKmWgQtq1r: Так Росія зробила в Сирії.Дивіться уважно.Немає ні укриттів"	 ні укріплень	 ні споруд проти землетрусів	 ні зенітних	 н…				
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"uk	RT @mil_in_ua: 🇺🇦Україна отримала ще 23 автомобілі швидкої допомоги від партнерів із різних країн світу  https://t.co/dSjji8SBKc  #Україна…"								
"ru	RT @S_vivat: Жаўнеры батальёна Каліноўскага паказалі спаленых расейскіх «Тыграў». #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co…"								
"ru	RT @Za_nashihVZ: В Красноярске кто-то заклеил такими плакатами многие остановки города 🤙 #putin #russia #armyofrussia #biden #ukraine #army…"								
"ru	https://t.co/gXlYxONzLi UA https://t.co/kNAVUixueJ #UA #Ukraine #клоанюа #грошівкредитнакарту #грошівкредитнакартуонлайн #кредит365украина #кредитонлайннакартувукраїні Eurogroshi com UA– При помощи нашего сервиса"	 каждый желающий может получить https://t.co/pCc4aG87L6							
